TABLE_NAME,START_DATE,END_DATE,STATUS
[AUMHistory].[Investor],20240830,,NOT_YET_LOADED
[AUMHistory].[Position],20240830,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240830,,NOT_YET_LOADED
[AUMHistory].[Investor],20240830,,NOT_YET_LOADED
[AUMHistory].[Position],20240731,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240731,,NOT_YET_LOADED
[AUMHistory].[Investor],20240731,,NOT_YET_LOADED
[AUMHistory].[Position],20240731,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240628,,NOT_YET_LOADED
[AUMHistory].[Investor],20240628,,NOT_YET_LOADED
[AUMHistory].[Position],20240628,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240628,,NOT_YET_LOADED
[AUMHistory].[Investor],20240531,,NOT_YET_LOADED
[AUMHistory].[Position],20240531,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240531,,NOT_YET_LOADED
[AUMHistory].[Investor],20240531,,NOT_YET_LOADED
[AUMHistory].[Position],20240430,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240430,,NOT_YET_LOADED
[AUMHistory].[Investor],20240430,,NOT_YET_LOADED
[AUMHistory].[Position],20240430,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240328,,NOT_YET_LOADED
[AUMHistory].[Investor],20240328,,NOT_YET_LOADED
[AUMHistory].[Position],20240328,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240328,,NOT_YET_LOADED
[AUMHistory].[Investor],20240229,,NOT_YET_LOADED
[AUMHistory].[Position],20240229,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240229,,NOT_YET_LOADED
[AUMHistory].[Investor],20240229,,NOT_YET_LOADED
[AUMHistory].[Position],20240131,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20240131,,NOT_YET_LOADED
[AUMHistory].[Investor],20240131,,NOT_YET_LOADED
[AUMHistory].[Position],20240131,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20231229,,NOT_YET_LOADED
[AUMHistory].[Investor],20231229,,NOT_YET_LOADED
[AUMHistory].[Position],20231229,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20231229,,NOT_YET_LOADED
[AUMHistory].[Investor],20231130,,NOT_YET_LOADED
[AUMHistory].[Position],20231130,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20231130,,NOT_YET_LOADED
[AUMHistory].[Investor],20231130,,NOT_YET_LOADED
[AUMHistory].[Position],20231031,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20231031,,NOT_YET_LOADED
[AUMHistory].[Investor],20231031,,NOT_YET_LOADED
[AUMHistory].[Position],20231031,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20230929,,NOT_YET_LOADED
[AUMHistory].[Investor],20230929,,NOT_YET_LOADED
[AUMHistory].[Position],20230929,,NOT_YET_LOADED
[AUMHistory].[ExternalAccount],20230929,,NOT_YET_LOADED
[AUMHistory].[Investor],20230831,,NOT_YET_LOADED
[AUMHistory].[Position],20230831,,NOT_YET_LOADED
