table_name,record_type,field,sub_table_name
SecurityMaster,,Security Id,
SecurityMaster,,CUSIP,
SecurityMaster,,Ticker,
SecurityMaster,,Security Description,
SecurityMaster,,Security Type,
SecurityMaster,,Security Style,
SecurityMaster,,Issue Type Multiplier,
SecurityMaster,,Agency Factor,
SecurityMaster,,Share Class,
SecurityMaster,,CDSC Fund Flag,
SecurityMaster,,Fund Family Id,
SecurityMaster,,Closed Flag,
SecurityMaster,,S&P Rating Id,
SecurityMaster,,Moody Rating Id,
SecurityMaster,,Firm Eligible,
SecurityMaster,,Issue Date,
SecurityMaster,,Maturity Date,
SecurityMaster,,Call Date,
SecurityMaster,,Call Price,
SecurityMaster,,Sector,
SecurityMaster,,Sub Sector (GICS Code),
SecurityMaster,,Last Modified Date,
SecurityMaster,,Interest Rate,
SecurityMaster,,Accrual Method,
SecurityMaster,,State Taxable,
SecurityMaster,,Federal Taxable,
SecurityMaster,,Exchange Id,
SecurityMaster,,Trade Currency,
SecurityMaster,,Frequency,
SecurityMaster,,ISIN,
SecurityMaster,,Sedol,
SecurityMaster,,First Coupon Date,
SecurityMaster,,Last Coupon Date,
SecurityMaster,,Minimum Purchase,
SecurityMaster,,Income Currency,
SecurityMaster,,Dummy Flag,
SecurityMaster,,Valor Number,
SecurityMaster,,Issuer Name,
SecurityMaster,,Fund Code,
SecurityMaster,,Broadridge Sec Number,
SecurityMaster,,Status Code,
SecurityMaster,,Product Type Id,
SecurityMaster,,Created Date,
SecurityMaster,,GICS Industry Group,
SecurityMaster,,GICS Industry,
SecurityPrice,,Security Id,
SecurityPrice,,CUSIP,
SecurityPrice,,Ticker,
SecurityPrice,,Pricing Custodian,
SecurityPrice,,Price Date,
SecurityPrice,,Price,
SecurityPrice,,Currency,
AccountMaster,,Account Id,
AccountMaster,,Account Number,
AccountMaster,,Account Name PII,
AccountMaster,,Product Name,
AccountMaster,,Product Type,
AccountMaster,,Customer Name PII,
AccountMaster,,Advisor Name PII,
AccountMaster,,Advisor Branch Name,
AccountMaster,,Rep Code,
AccountMaster,,Custodian,
AccountMaster,,Start Date,
AccountMaster,,Mailing Label PII,
AccountMaster,,Registration Type,
AccountMaster,,State PII,
AccountMaster,,Name and Address 1 PII,
AccountMaster,,Name and Address 2 PII,
AccountMaster,,Name and Address 3 PII,
AccountMaster,,Name and Address 4 PII,
AccountMaster,,SSN/Tax Id PII,
AccountMaster,,SSN/Tax Id Flag PII,
AccountMaster,,Close Date,
AccountMaster,,Accounting Method of Equities,
AccountMaster,,Accounting Method of Mutual Funds,
AccountMaster,,Master Account Number PII,
AccountMaster,,Customer Id,
AccountMaster,,Proposal Group Id,
AccountMaster,,Customer Registration Id,
AccountMaster,,Reconciled Status,
AccountMaster,,Last Reconciled Date,
AccountMaster,,NSCC Networking Level,
AccountMaster,,SWP Indicator,
AccountMaster,,ACH Indicator,
AccountMaster,,PAC/SPP Indicator,
AccountMaster,,Check Writing,
AccountMaster,,Fund Family Id,
AccountMaster,,Import Account,
AccountMaster,,Cross Fund Reinvest,
AccountMaster,,Account Number Indicator,
AccountMaster,,NF Transfer Eligibility Flag,
AccountMaster,,Custodian Id,
AccountMaster,,Account Status,
AccountMaster,,Registration Type Id,
AccountMaster,,Primary Member First Name PII,
AccountMaster,,Primary Member Middle Name PII,
AccountMaster,,Primary Member Last Name PII,
AccountMaster,,Partner Code,
AccountMaster,,Branch Code,
AccountMaster,,Alternate Rep Code,
AccountMaster,,Advisor Rep Number,
AccountMaster,,Product Id,
AccountMaster,,Proposal Risk Rating,
AccountMaster,,As of Close Date,
AccountMaster,,Un-Supervised Assets,
AccountMaster,,Total Cash,
AccountMaster,,Total Market Value,
AccountMaster,,Last Updated by Custodian,
AccountMaster,,Account Created Date,
AccountMaster,,Tax Status,
AccountMaster,,Ticker,
AccountMaster,,Advisor Id,
AccountMaster,,Benchmark,
AccountMaster,,Goal Id,
AccountMaster,,Goal Target,
AccountMaster,,Alternate Account Number,
AccountMaster,,Currency,
AccountMaster,,Family Member Id,
AccountMaster,,Custodian Position Date,
AccountMaster,,Program Id,
AccountMaster,,Aggregate Account Id,
AccountMaster,,Alternate Account 2,
AccountMaster,,Fund Family Code,
AccountMaster,,Aggregate Error Code,
AccountMaster,,Aggregate Error Message,
AccountMaster,,Product Overlay Feature,
AccountMaster,,Client Review Date,
AccountMaster,,Investment Group Review Date,
AccountMaster,,Account Review Date,
AccountMaster,,Solicitor Id,
AccountMaster,,Solicitor prc,
AccountMaster,,Solicitor End Date,
AccountMaster,,Collateralized,
AccountMaster,,Investment Selection Discretion,
AccountMaster,,Benchmark Id,
AccountMaster,,Index Type,
AccountMaster,,Index Scope,
AccountMaster,,Account V2 Handle,
Transactions,,Transaction Id,
Transactions,,Account Id,
Transactions,,Account Number,
Transactions,,Transaction Type,
Transactions,,Security Id,
Transactions,,CUSIP,
Transactions,,Ticker,
Transactions,,Transaction Description,
Transactions,,Transaction Date,
Transactions,,Transaction Amount,
Transactions,,Transaction Units,
Transactions,,Commission,
Transactions,,Deleted Flag,
Transactions,,Settlement Date,
Transactions,,Sec Fee,
Transactions,,Postage Fee,
Transactions,,Clearing Fee,
Transactions,,Exchange Fee,
Transactions,,Ticket Charge,
Transactions,,Handling Fee,
Transactions,,Redemption Fee,
Transactions,,Deferred Sales Load Fee,
Transactions,,Concession,
Transactions,,Accrued Interest,
Transactions,,Owning Rep Id,
Transactions,,Executing Rep Id,
Transactions,,Posted Date,
Transactions,,Transaction Mapping Id,
Transactions,,Exchange Id,
Transactions,,Revenue Concession,
Transactions,,Execution Price,
Transactions,,Security Type,
Transactions,,Security Style,
Transactions,,Trade Currency,
Transactions,,Settlement Currency,
Transactions,,Sales Charge Percentage,
Transactions,,External Transaction Id,
Transactions,,Re-Org Flag,
Transactions,,Source,
Transactions,,Custodian Transaction,
Products,A,Record Type,Product
Products,A,Product Id,
Products,A,Product Name,
Products,A,Manager Name,
Products,A,Product Type Id,
Products,A,Tax Efficiency,
Products,A,Risk Rating,
Products,A,Last Model Change Date,
Products,A,Status,
Products,A,IMR Status,
Products,A,Account Minimum,
Products,A,Style Type,
Products,A,Currency,
Products,A,Portfolio Id,
Products,A,Portfolio Name,
Products,A,Manager Firm Id,
Products,A,Manager Firm Name,
Products,A,Sleeve Security Id,
Products,A,Dashboard Product Type,
Products,A,Product Class Id,
Products,A,Pricing Tier,
Products,A,Overlay Product Id,
Products,A,Overlay Product Name,
Products,A,Ticker,
Products,A,Product Risk Method,
Products,A,Portfolio Risk Method,
Products,A,Program Id,
Products,A,Benchmark,
Products,A,Benchmark Id,
Products,A,Index Type,
Products,A,Index Scope,
Products,A,Product V2 Handle,
Products,B,Record Type,Fee Schedule
Products,B,Product Id,
Products,B,Fee Schedule Id,
Products,B,Fee Schedule Name,
Products,B,Linear Fee Range Start,
Products,B,Fee Minimum,
Products,B,Fee Maximum,
Products,B,Currency,
